,FID,x,y,adr_pelny,ogolem,inside_polygon
3748,3748,19.88895201,50.09645848,STAWOWA 156,51,True
4210,4210,19.88554973,50.09257009,SMĘTNA 9,43,True
4254,4254,19.88706686,50.09194465,SMĘTNA 7B,42,True
4298,4298,19.88153589,50.09376942,OJCOWSKA 19,41,True
4308,4308,19.88050831,50.09360496,OJCOWSKA 23C,41,True
4425,4425,19.88548271,50.09218852,SMĘTNA 7,39,True
4473,4473,19.88738616,50.09543947,SOSNOWIECKA 25F,39,True
4634,4634,19.88731694,50.09524252,SOSNOWIECKA 25E,37,True
4635,4635,19.88744818,50.09561107,SOSNOWIECKA 25G,37,True
4799,4799,19.88615271,50.09701788,STAWOWA 172B,35,True
4884,4884,19.87886285,50.09458907,NA POLACH 11B,34,True
4968,4968,19.88916641,50.09307069,SOSNOWIECKA 30B,33,True
5085,5085,19.87844395,50.09554917,NA POLACH 25,31,True
5256,5256,19.88932902,50.09215438,SOSNOWIECKA 32E,30,True
5375,5375,19.88981709,50.09623979,STAWOWA 152D,29,True
5484,5484,19.88842016,50.09240786,SOSNOWIECKA 28D,28,True
5485,5485,19.88875252,50.09591108,STAWOWA 154,28,True
5491,5491,19.88928531,50.09340245,SOSNOWIECKA 30,28,True
5492,5492,19.88940772,50.09234215,SOSNOWIECKA 32D,28,True
5606,5606,19.88923112,50.09323512,SOSNOWIECKA 30A,27,True
5721,5721,19.88625545,50.09207106,SMĘTNA 7A,26,True
5725,5725,19.88711967,50.09447803,SOSNOWIECKA 25C,26,True
5853,5853,19.88828299,50.09437206,SOSNOWIECKA 33,25,True
5855,5855,19.88877769,50.09423677,SOSNOWIECKA 39,25,True
5876,5876,19.88915195,50.09168519,SOSNOWIECKA 32G,25,True
5878,5878,19.88899319,50.0949099,STAWOWA 137A,25,True
5915,5915,19.87772267,50.09501178,NA POLACH 29,24,True
6007,6007,19.88150553,50.09494372,NA POLACH 3,24,True
6120,6120,19.87691583,50.09466015,NA POLACH 33,23,True
6139,6139,19.88076012,50.09422277,OJCOWSKA 23A,23,True
6172,6172,19.88948853,50.09382448,SOSNOWIECKA 45,23,True
6173,6173,19.88974488,50.09452581,STAWOWA 129,23,True
6196,6196,19.88959448,50.09646105,STAWOWA 152B,23,True
6199,6199,19.88824064,50.09191794,SOSNOWIECKA 28F,23,True
6255,6255,19.87817272,50.09536637,NA POLACH 27,22,True
6357,6357,19.89000052,50.09511363,STAWOWA 125,22,True
6380,6380,19.88910789,50.09523702,STAWOWA 137,22,True
6428,6428,19.87821176,50.09398523,PASTERNIK 18A,21,True
6504,6504,19.88115321,50.09449639,OJCOWSKA 23B,21,True
6524,6524,19.8888015,50.09535499,STAWOWA 139,21,True
6525,6525,19.88870534,50.09511034,STAWOWA 141,21,True
6526,6526,19.88772581,50.09418767,SOSNOWIECKA 29,21,True
6527,6527,19.88957396,50.09410138,SOSNOWIECKA 47,21,True
6529,6529,19.88924041,50.09422788,SOSNOWIECKA 41,21,True
6549,6549,19.88724363,50.09481091,SOSNOWIECKA 25D,21,True
6555,6555,19.88879723,50.09343166,SOSNOWIECKA 28,21,True
6556,6556,19.88872187,50.09200088,SOSNOWIECKA 30F,21,True
6557,6557,19.88923817,50.09191875,SOSNOWIECKA 32F,21,True
6623,6623,19.87743591,50.09495179,NA POLACH 31,20,True
6755,6755,19.88786038,50.09448114,SOSNOWIECKA 31,20,True
6758,6758,19.88935346,50.09471415,STAWOWA 131,20,True
6779,6779,19.88850353,50.09264239,SOSNOWIECKA 28C,20,True
6827,6827,19.8767039,50.09452386,NA POLACH 35,19,True
6943,6943,19.88827732,50.09525843,STAWOWA 147,19,True
6944,6944,19.88839102,50.09557855,STAWOWA 149,19,True
6947,6947,19.88958864,50.09534585,STAWOWA 135,19,True
6975,6975,19.88912223,50.09599234,STAWOWA 152,19,True
