,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id
2160,51975594,278194684,2024-03-28 07:45:01,,0 days 02:15:38,2024-03-28 10:00:39,,8138,2160
2677,2476197748,264464994,2024-03-28 07:45:02,,0 days 02:08:19,2024-03-28 09:53:21,,7699,2677
2835,51974802,11038038566,2024-03-28 07:45:03,,0 days 02:27:11,2024-03-28 10:12:14,,8831,2835
508,933716690,1894287220,2024-03-28 07:45:03,,0 days 02:14:34,2024-03-28 09:59:37,,8074,508
1148,2397334313,288604077,2024-03-28 07:45:03,,0 days 02:10:09,2024-03-28 09:55:12,,7809,1148
1571,2397334313,1222395388,2024-03-28 07:45:03,,0 days 02:44:19,2024-03-28 10:29:22,,9859,1571
1503,2397334313,283230171,2024-03-28 07:45:03,,0 days 02:49:35,2024-03-28 10:34:38,,10175,1503
1232,3830945445,243362262,2024-03-28 07:45:03,,0 days 02:31:34,2024-03-28 10:16:37,,9094,1232
1451,2397235538,278198330,2024-03-28 07:45:05,,0 days 02:15:11,2024-03-28 10:00:16,,8111,1451
218,2958861357,34806052,2024-03-28 07:45:05,,0 days 02:30:36,2024-03-28 10:15:41,,9036,218
2045,2958861367,245421623,2024-03-28 07:45:05,,0 days 02:20:12,2024-03-28 10:05:17,,8412,2045
3462,3830945445,595751012,2024-03-28 07:45:06,,0 days 02:25:13,2024-03-28 10:10:19,,8713,3462
3752,264718166,243365296,2024-03-28 07:45:06,,0 days 02:06:40,2024-03-28 09:51:46,,7600,3752
1730,297891997,269497902,2024-03-28 07:45:06,,0 days 02:22:20,2024-03-28 10:07:26,,8540,1730
40,274514735,288145457,2024-03-28 07:45:07,,0 days 02:42:27,2024-03-28 10:27:34,,9747,40
2743,10927000751,9445396410,2024-03-28 07:45:07,,0 days 02:45:11,2024-03-28 10:30:18,,9911,2743
1822,933716690,1245993122,2024-03-28 07:45:08,,0 days 02:35:12,2024-03-28 10:20:20,,9312,1822
1349,51975594,226019016,2024-03-28 07:45:08,,0 days 01:52:38,2024-03-28 09:37:46,,6758,1349
3787,51975594,278217722,2024-03-28 07:45:08,,0 days 02:10:37,2024-03-28 09:55:45,,7837,3787
2800,274514795,1362797096,2024-03-28 07:45:08,,0 days 02:26:22,2024-03-28 10:11:30,,8782,2800
1627,2486206084,1199353879,2024-03-28 07:45:08,,0 days 02:24:51,2024-03-28 10:09:59,,8691,1627
2258,261737329,278213718,2024-03-28 07:45:09,,0 days 02:17:44,2024-03-28 10:02:53,,8264,2258
1092,1710281170,1980102091,2024-03-28 07:45:09,,0 days 02:35:22,2024-03-28 10:20:31,,9322,1092
3844,232714779,278209560,2024-03-28 07:45:10,,0 days 02:26:12,2024-03-28 10:11:22,,8772,3844
2023,2476197748,272505844,2024-03-28 07:45:10,,0 days 02:34:56,2024-03-28 10:20:06,,9296,2023
215,297891997,1432955876,2024-03-28 07:45:10,,0 days 02:37:29,2024-03-28 10:22:39,,9449,215
896,2958861354,273532982,2024-03-28 07:45:10,,0 days 01:44:53,2024-03-28 09:30:03,,6293,896
3601,274514795,206373016,2024-03-28 07:45:11,,0 days 02:25:14,2024-03-28 10:10:25,,8714,3601
3020,2397235539,272482353,2024-03-28 07:45:13,,0 days 02:30:30,2024-03-28 10:15:43,,9030,3020
423,2397334313,587632534,2024-03-28 07:45:13,,0 days 02:50:09,2024-03-28 10:35:22,,10209,423
2608,2958861367,9445396406,2024-03-28 07:45:13,,0 days 02:29:18,2024-03-28 10:14:31,,8958,2608
3835,261737332,2261513248,2024-03-28 07:45:14,,0 days 02:15:40,2024-03-28 10:00:54,,8140,3835
1085,933716485,278213724,2024-03-28 07:45:15,,0 days 02:22:48,2024-03-28 10:08:03,,8568,1085
2299,2958861354,284609393,2024-03-28 07:45:16,,0 days 01:17:20,2024-03-28 09:02:36,,4640,2299
3749,261737332,6643622538,2024-03-28 07:45:16,,0 days 01:49:16,2024-03-28 09:34:32,,6556,3749
1984,261737332,1222395395,2024-03-28 07:45:16,,0 days 02:34:27,2024-03-28 10:19:43,,9267,1984
3467,2476197748,979256995,2024-03-28 07:45:17,,0 days 01:24:25,2024-03-28 09:09:42,,5065,3467
245,1483996919,355587818,2024-03-28 07:45:18,,0 days 02:59:44,2024-03-28 10:45:02,,10784,245
1924,2397334313,278217720,2024-03-28 07:45:18,,0 days 02:19:50,2024-03-28 10:05:08,,8390,1924
602,2486206084,322230278,2024-03-28 07:45:18,,0 days 02:20:49,2024-03-28 10:06:07,,8449,602
2343,1710281170,226019077,2024-03-28 07:45:18,,0 days 01:43:08,2024-03-28 09:28:26,,6188,2343
1273,261737332,278194693,2024-03-28 07:45:19,,0 days 02:29:31,2024-03-28 10:14:50,,8971,1273
1047,10899324851,6093961959,2024-03-28 07:45:19,,0 days 03:27:49,2024-03-28 11:13:08,,12469,1047
1393,933710557,278192365,2024-03-28 07:45:20,,0 days 02:29:00,2024-03-28 10:14:20,,8940,1393
3679,1710281170,9445396383,2024-03-28 07:45:20,,0 days 02:22:25,2024-03-28 10:07:45,,8545,3679
1523,933716693,2005300507,2024-03-28 07:45:21,,0 days 02:24:36,2024-03-28 10:09:57,,8676,1523
3905,2958861357,283705728,2024-03-28 07:45:21,,0 days 02:36:17,2024-03-28 10:21:38,,9377,3905
3111,261737332,1332572391,2024-03-28 07:45:21,,0 days 02:51:40,2024-03-28 10:37:01,,10300,3111
3888,933716693,1858434376,2024-03-28 07:45:22,,0 days 01:27:54,2024-03-28 09:13:16,,5274,3888
3453,933716690,275652497,2024-03-28 07:45:23,,0 days 02:20:19,2024-03-28 10:05:42,,8419,3453
1567,1710281170,321370367,2024-03-28 07:45:23,,0 days 02:12:01,2024-03-28 09:57:24,,7921,1567
1169,1710281170,206375463,2024-03-28 07:45:23,,0 days 02:15:13,2024-03-28 10:00:36,,8113,1169
2239,261737332,288496364,2024-03-28 07:45:23,,0 days 02:07:12,2024-03-28 09:52:35,,7632,2239
