,Unnamed: 0,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,PT_fare,u_PT
0,0,19.88948,50.01844,19.954224567399343,50.04563548823089,2024-03-28 07:54:33,True,3.0,1560.0,274.98851127159645,0.0,1320.0,2.0,"[['TRAM', 1320, 6352], ['WALK', 238, 274]]",2.386,8.624099649084313
1,1,19.88948,50.01844,19.93419539069741,50.07058544963221,2024-03-28 07:52:19,True,3.0,2149.0,406.6115263073829,0.0,1800.0,2.0,"[['TRAM', 1800, 9003], ['WALK', 347, 406]]",2.8899999999999997,11.5759005701264
2,2,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 08:05:43,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
3,3,19.88948,50.01844,19.89533266009036,50.08589444983672,2024-03-28 07:49:17,True,3.0,2685.0,398.5561954829719,2.0,2100.0,239.0,"[['TRAM', 780, 5014], ['WALK', 3, 0], ['BUS', 660, 2604], ['BUS', 660, 3952], ['WALK', 343, 398]]",3.2049999999999996,18.052911140317335
4,4,19.88948,50.01844,19.93220916319116,50.05661243642661,2024-03-28 08:03:51,True,3.0,1825.0,391.8127819496347,0.0,1500.0,2.0,"[['TRAM', 1500, 7605], ['WALK', 323, 391]]",2.575,10.124574561372869
5,5,19.88948,50.01844,19.923458794539304,50.05679640240351,2024-03-28 08:07:22,True,3.0,1673.0,729.578067666686,1.0,1080.0,18.0,"[['TRAM', 900, 5468], ['WALK', 164, 215], ['BUS', 180, 839], ['WALK', 411, 514]]",2.134,12.045872061389003
6,6,19.88948,50.01844,19.88011039203673,50.014883949384775,2024-03-28 07:55:29,True,3.0,630.0,550.8478496163209,0.0,180.0,2.0,"[['WALK', 50, 43], ['BUS', 180, 1019], ['WALK', 398, 507]]",1.189,5.046279122761872
7,7,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:47:31,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
8,8,19.88948,50.01844,19.940892831697568,50.03098883384271,2024-03-28 07:54:11,True,3.0,1230.0,478.8799774390601,0.0,840.0,2.0,"[['TRAM', 840, 4303], ['WALK', 388, 478]]",1.882,7.629466535061184
9,9,19.88948,50.01844,19.92604983564809,50.06390840504383,2024-03-28 07:56:32,True,3.0,1654.0,403.04410526179925,1.0,1260.0,78.0,"[['TRAM', 900, 5468], ['WALK', 164, 215], ['BUS', 360, 1728], ['WALK', 152, 187]]",2.323,11.380090614027164
10,10,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 08:00:33,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
11,11,19.88948,50.01844,19.7630542739841,50.11908686112967,2024-03-28 07:52:49,True,3.0,5334.0,1124.5014285658967,3.0,3540.0,914.0,"[['TRAM', 900, 5468], ['WALK', 164, 215], ['BUS', 1080, 5333], ['BUS', 1140, 8524], ['WALK', 4, 1], ['BUS', 420, 2910], ['WALK', 712, 907]]",4.717,35.3145916666344
12,12,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 08:07:59,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
13,13,19.88948,50.01844,19.88011039203673,50.014883949384775,2024-03-28 08:01:35,True,3.0,630.0,550.8478496163209,0.0,180.0,2.0,"[['WALK', 50, 43], ['BUS', 180, 1019], ['WALK', 398, 507]]",1.189,5.046279122761872
14,14,19.88948,50.01844,19.983278135376565,50.06646184075096,2024-03-28 07:59:58,True,3.0,2585.0,614.0208796846671,1.0,1980.0,62.0,"[['TRAM', 1080, 6263], ['TRAM', 900, 4052], ['WALK', 543, 613]]",3.079,15.774788464827225
15,15,19.88948,50.01844,19.886275110704297,50.022902472667816,2024-03-28 08:02:54,True,3.0,794.0,952.5506616391419,0.0,0.0,0.0,"[['WALK', 794, 952]]",1.0,6.556545526228328
16,16,19.88948,50.01844,19.952184584477106,50.02572924887218,2024-03-28 07:55:44,True,3.0,1770.0,408.61539097401055,1.0,1140.0,302.0,"[['TRAM', 960, 4663], ['WALK', 60, 75], ['BUS', 180, 1228], ['WALK', 268, 332]]",2.197,12.43458978068173
17,17,19.88948,50.01844,19.941532571499973,50.04104459668561,2024-03-28 07:53:29,True,3.0,1248.0,233.96398495130654,0.0,1020.0,2.0,"[['TRAM', 1020, 5330], ['WALK', 226, 233]]",2.0709999999999997,7.019789912215955
18,18,19.88948,50.01844,19.97507830224864,50.03920911861551,2024-03-28 08:14:35,True,3.0,2266.0,1383.6223157741047,0.0,1140.0,2.0,"[['WALK', 50, 43], ['BUS', 1140, 6366], ['WALK', 1074, 1339]]",2.197,14.272130175348945
